,Unnamed: 0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,"Preliminary AESO 2024 LTO Decarbonization Scenario Modeling -  Inputs, Assumptions, and Results"
11,
12,2023-11-15 00:00:00
13,
14,
15,
16,
17,
18,"Disclaimer: This document contains forward looking data that is derived from specific inputs, assumptions, and projections.  The information herein is not intended to inform regulatory or investment decisions, nor is it intended to provide insights, views, or positions regarding regulatory structures.  The data herein is confidential and should not be disseminated, reproduced, or shared with any party without the explicit consent of the AESO."
